ip,protocol,port,state,service,version,vuln_id,vuln_title,cvss_score,vuln_desc
192.168.252.209,tcp,3920,no-response,,,,,,
192.168.252.209,tcp,3945,no-response,,,,,,
192.168.252.209,tcp,3971,no-response,,,,,,
192.168.252.209,tcp,3986,no-response,,,,,,
192.168.252.209,tcp,3995,no-response,,,,,,
192.168.252.209,tcp,3998,no-response,,,,,,
192.168.252.209,tcp,4000,no-response,,,,,,
192.168.252.209,tcp,4001,no-response,,,,,,
192.168.252.209,tcp,4002,no-response,,,,,,
192.168.252.209,tcp,4003,no-response,,,,,,
192.168.252.209,tcp,4004,no-response,,,,,,
192.168.252.209,tcp,4005,no-response,,,,,,
192.168.252.209,tcp,4006,no-response,,,,,,
192.168.252.209,tcp,4045,no-response,,,,,,
192.168.252.209,tcp,4111,no-response,,,,,,
192.168.252.209,tcp,4125,no-response,,,,,,
192.168.252.209,tcp,4126,no-response,,,,,,
192.168.252.209,tcp,4129,no-response,,,,,,
192.168.252.209,tcp,4224,no-response,,,,,,
192.168.252.209,tcp,4242,no-response,,,,,,
192.168.252.209,tcp,4279,no-response,,,,,,
192.168.252.209,tcp,4321,no-response,,,,,,
192.168.252.209,tcp,4343,no-response,,,,,,
192.168.252.209,tcp,4443,no-response,,,,,,
192.168.252.209,tcp,4444,no-response,,,,,,
192.168.252.209,tcp,4445,no-response,,,,,,
192.168.252.209,tcp,4446,no-response,,,,,,
192.168.252.209,tcp,4449,no-response,,,,,,
192.168.252.209,tcp,4550,no-response,,,,,,
192.168.252.209,tcp,4567,no-response,,,,,,
192.168.252.209,tcp,4662,no-response,,,,,,
192.168.252.209,tcp,4848,no-response,,,,,,
192.168.252.209,tcp,4899,no-response,,,,,,
192.168.252.209,tcp,4900,no-response,,,,,,
192.168.252.209,tcp,4998,no-response,,,,,,
192.168.252.209,tcp,5000,no-response,,,,,,
192.168.252.209,tcp,5001,no-response,,,,,,
192.168.252.209,tcp,5002,no-response,,,,,,
